,column_name
Version Number Of Release,Version
Year of Study,Year
Study Respondent Number: Year-level Case ID,VCF0006
Unique Respondent Number (Cross-year ID for panel cases),VCF0006a
"Weight: For 1970 type 0 - 2012,2016 FTF sample",VCF0009x
"Weight: For 1970 type 1 - 2012,2016 FTF sample",VCF0010x
"Weight: For 1970 type 2 - 2012,2016 FTF sample",VCF0011x
"Weight: For 1970 type 0 - 2012,2016 Web sample",VCF0009y
"Weight: For 1970 type 1 - 2012,2016 Web sample",VCF0010y
"Weight: For 1970 type 2 - 2012,2016 Web sample",VCF0011y
"Weight: For 1970 type 0 - 2012,2016,2020 full sample",VCF0009z
"Weight: For 1970 type 1 - 2012,2016 full sample",VCF0010z
"Weight: For 1970 type 2 - 2012,2016 full sample",VCF0011z
Weight: post-election weight full sample,VCF9999
Form Filter for Paper Questionnaires,VCF0012
Completion - Post-election (flag),VCF0013
Completion - Pre-election (flag),VCF0014
Abbreviated Interview - Pre,VCF0015a
Abbreviated Interview - Post,VCF0015b
Cross-section composition: fresh Cross or panel case,VCF0016
Mode of Interview,mode_interview
Language of Interview - Pre,language_interview_pre
Language of Interview - Post,language_interview_Post
R Relationship to Head of HH 1952-1986,VCF0019
Respondent Level of Political Info - Pre,level_politicalInfo_pre
Respondent Level of Political Info - Post,level_politicalInfo_Post
Interviewer Gender - Pre,interviewer_gender_pre
Interviewer Gender - Post,interviewer_gender_Post
Interviewer Race Full - Pre,interviewer_race_pre
Interviewer Race Full - Post,interviewer_race_Post
Interviewer Race 2-category - Pre,VCF0071c
Interviewer Race 2-category - Post,VCF0071d
Interviewer Ethnicity - Pre,interviewer_ethnicity_pre
Interviewer Ethnicity - Post,interviewer_ethnicty_Post
Respondent - Age,Age
Respondent - Age Group,Age_group
Respondent - Cohort,cohort
Respondent - Gender,Gender
"Race-ethnicity summary, 7 categories",Race7
"Race-ethnicity summary, 4 categories",Race4
"Race summary, 3 categories",Race3
Respondent - Hispanic Origin Type,Hispanic_type
Respondent - Hispanic Origin,Hispanic_origin
Respondent - Ethnicity,VCF0109
Respondent - Education 4-category,Education4
Urbanism,urbanism
Census Region,region
Political South/Nonsouth,South
Respondent Family - Income Group,Family_income
Respondent - Occupation Group 6-category,occupation
Respondent - Work Status 7-category,VCF0116
Head of HH - Work Status 7-category 1948-1986,VCF0117
Respondent - Work Status 5-category,work_status5
Head of HH - Work Status 5-category 1952-1986,VCF0119
Respondent - Prestige Score S.E.I. Rank 1976-1984,VCF0120
Head of HH - Prestige Score S.E.I. Rank 1976-1984,VCF0121
Respondent - Prestige Score NORC Rank 1976-1982,VCF0122
Head of HH - Prestige Score NORC Rank 1976-1982,VCF0123
Respondent - Prestige Score S.E.S. Rank 1968-1974,VCF0124
Head of HH - Prestige Score S.E.S. Rank 1968-1974,VCF0125
Father of Respondent - Occupation 5-category 1952-1996,VCF0126
Father of Respondent Occupation 8-category 1970-1976,VCF0126a
"Father of Respondent - Occupation Group 1978-1982,1996",VCF0126b
"Father of Respondent - Occupation Group 1984-1988,1992",VCF0126c
Household - Union Membership,VCF0127
Household - Who Belongs to Union 8-category,VCF0127a
Household - Who Belongs to Union 4-category,VCF0127b
Respondent - Religion Major Group,religion
Respondent - Religion 7-category 1960-1988,VCF0128a
Respondent - Religion 8-category 1990-1996,VCF0128b
"Respondent - Religion Full Code 1960-1988,2002",VCF0129
Respondent - Church Attendance 1970-,VCF0130
Respondent - Church Attendance 1990-,church_attendance
Respondent - Church Attendance 1952-1968,VCF0131
Respondent - Where Grew Up: State 1968-,VCF0132
Respondent - Where Grew Up: State 1952-1966,VCF0133
"Respondent - Where Grew Up: Farm 1952-1994,2000",VCF0134
"Respondent - Where Grew Up: Large City 1952-1994,2000",VCF0135
Respondent - Where Grew Up: Urbanism 1956-1976,VCF0136
Respondent - Where Grew Up: Urbanism 1978-2000,VCF0137
Number of Children in family,number_children
Number Children Under Age 6 in HH,VCF0138a
Number Children Ages 6-9 in HH,VCF0138b
Number Children Ages 10-13 in HH,VCF0138c
Number Children Ages 14-17 in HH,VCF0138d
Age Youngest Child in HH,VCF0138e
Respondent - How Many Children Does R Have,VCF0139
Respondent - Education 6-category,education6
Respondent - Education 7-category,education7
Head of HH - Education 6-category 1962-1986,VCF0141
Respondent - Place of Birth,place_birth
Respondent Parents - Native Born,native_born_parents
Respondent Father - Where Born,father_born
Respondent Mother - Where Born,mother_born
Respondent Family - Home Ownership,home_ownership
Respondent - Marital Status,married
Respondent - Social Class 8-category,class8
Respondent - Average or Upper Middle/Working Class,average_Class
Respondent - Think of Self as Member of Social Class,self_class
Respondent - Work Status 16-category,work_status
Respondent - Occupation Group 5-Category,occupation5
Respondent - Religion Full Code 1990-,religion_fullCode
Mother of Respondent - Occupation 8-category 1970-1976,mother_occupation_a
Mother of Respondent - Occupation Group 1978-1982,mother_occupation_b
Mother of Respondent - Occupation Group 1984-1988,mother_occupation_c
Respondent - Occupation 71-category,occupation71
Respondent - Occupation 14-category,occupation14
Respondent - Worried about Find/Losing Job,worried_job
Respondent - Working R Laid off Last 6 Months,laid_off_last6moths
Respondent - Working R Hours Reduced/Cut in Pay,working_reduced
County of IW 1956-1960,VCF0170a
County of IW 1964-1976,VCF0170b
County of IW 1968-1982,VCF0170c
"County of IW 1970,1978-1998",VCF0170d
Thermometer - Democrats,therm_Dem
Thermometer - Republicans,therm_Rep
Thermometer - Protestants,therm_Protestants
Thermometer - Catholics,therm_Catholics
Thermometer - Jews,therm_Jews
Thermometer - Blacks,therm_Blacks
Thermometer - Whites,therm_Whites
Thermometer - Southerners,therm_Southerners
Thermometer - Big Business,therm_bigBusiness
Thermometer - Labor Unions,therm_labor
