,missing_value_num,missing_value_percentage,missing_value_percentage_10(>=2012),missing_value_percentage_20(>=2002),missing_value_percentage_30(>=1992),missing_value_percentage_40(>=1982),missing_value_percentage_50(>=1972),missing_value_percentage_60(>=1962),missing_value_percentage_60(>=1952),variable_name
blackInfluence_Politics,49995,0.7328066369606003,0.1190424610051993,0.22459483602024757,0.4406738056518671,0.5706985069002873,0.6554585317910335,0.6968452212669006,0.7301885675379651,"In American politics, do blacks have too much, about the right amount of, or too little influence"
powerDifference,49710,0.7286292213883677,0.11086438474870017,0.21247181930324557,0.43192906016998556,0.5639866233338043,0.6500718227867242,0.6921055695065773,0.7259702199461235,CSES: Make big difference who is in power (5pt) scale placement for R
votingMakedifference,49664,0.7279549718574109,0.10837305025996534,0.2105151218682207,0.4305176275658924,0.5629033017757054,0.6492023890526952,0.6913405730821041,0.7252893638435807,CSES: Who votes for makes a big diffence - (5pt) scale placement for R
bisexalFamilyorFriends,48900,0.7167565666041276,0.07647313691507798,0.17801692968650304,0.40707557301095393,0.5449107437238001,0.6347622287744764,0.6786349802930269,0.7139812320535213,Does R know anyone among family and friends who is bisexual or gay
therm_Christians,48789,0.7151295731707317,0.05946707105719237,0.17329533370198646,0.4036697247706422,0.5422966417031699,0.632664247372798,0.6767890106600589,0.7123382966756461,Thermometer for: Christians
satisfactionDemocracy,48722,0.7141475140712945,0.11243500866551126,0.17044536135097196,0.40161394249946303,0.54071876030333,0.6313978982384516,0.6756747767374566,0.7113466149610728,CSES: How satisfied is R with the way democracy works in the U.S. (4cat: very satisfied-not at all satisfied)
follow_political_info,48706,0.7139129924953096,0.0002166377816291161,0.1697647709387894,0.40112300941977846,0.5403419528048609,0.6310954865048763,0.6754086910245963,0.7111097954471448,How often does R follow information about politics and government
howOftenTrust,48679,0.7135172373358349,0.0028704506065857886,0.1686162746182313,0.40029455984781076,0.539706090151194,0.6305851667044682,0.6749596713841446,0.7107101625173914,How often can R trust people
therm_Mislims,47998,0.7035354127579737,0.06547876949740035,0.13964864519971074,0.379399220643736,0.5236682209975978,0.617713767294171,0.66363439823053,0.7006305319558331,Thermometer for: Muslims
sex_orientation,47942,0.7027145872420263,0.024696707105719237,0.13726657875707177,0.37768095486484,0.5223493947529556,0.6166553262266576,0.6627030982355191,0.6998016636570853,"Does R consider self to be heterosexual or straight, homosexual or [gay/lesbian], or bisexual"
satisfactionLife,47932,0.7025680112570356,0.014677209705372616,0.13684120974945765,0.37737412169003715,0.5221138900664123,0.616466318893173,0.6625367946649815,0.6996536514608803,How satisfied is R with R's life
living_withFamily,47503,0.6962799015009381,0.0035203639514731367,0.11859287932281254,0.36421097849099443,0.5120107390137064,0.6083579042866863,0.6554023714889159,0.6933039282436873,Is R living with family members
